Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
Who,,,,,,,,,,,,,,,,,,,0.02980172,0.3062513,-0.1087708,0.04847015,0.08612397,0.03982477,0.03522281,0.03522312,0.08456485,0,2.443315,-2.830691,-1.459137,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03184144,0.3060032,-0.1063953,0.04930113,0.08710415,0.03747753,0.0353655,0.0358723,0.0523805,0.001344144,2.462573,-2.807052,-1.432434,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03328877,0.3064353,-0.1054197,0.04936901,0.0868254,0.03797796,0.03498193,0.03526215,0.03429522,0,2.471416,-2.759818,-1.374294,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03205282,0.3096958,-0.1036757,0.04809274,0.08379661,0.03689449,0.03485679,0.03537882,0.07776113,0.00143598,2.42604,-2.708297,-1.320511,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03264429,0.3130789,-0.1015918,0.04958486,0.08199047,0.03657192,0.03482005,0.03531457,0.08187696,0.00890412,2.410125,-2.68649,-1.293582,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0343991,0.3170565,-0.09936596,0.04976989,0.08359155,0.03681694,0.03479797,0.03524636,0.09896033,0.009890709,2.408975,-2.691746,-1.286246,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03674139,0.3196023,-0.09881161,0.0504302,0.08651494,0.0373415,0.03476381,0.03540253,0.08297686,0.02105416,2.450088,-2.663198,-1.212914,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03640874,0.3232927,-0.09674058,0.04912363,0.08766185,0.03726834,0.03512013,0.0357762,0.07671337,0.04294957,2.464076,-2.636466,-1.141517,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03684798,0.3261061,-0.09676259,0.05018888,0.0866315,0.03934436,0.03487792,0.03489925,0.0554096,0.04780886,2.460687,-2.599803,-1.082098,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03531359,0.3276346,-0.09578449,0.05147841,0.08276561,0.03704382,0.03488901,0.03505345,0.03317108,0.06226434,2.436518,-2.557333,-1.05865,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03454389,0.3286223,-0.09515432,0.05163253,0.08183961,0.03665069,0.03474078,0.03508816,0.01164606,0.06179481,2.413775,-2.526648,-1.042382,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03461208,0.3284585,-0.09327014,0.04998981,0.0834307,0.03715691,0.03501065,0.03550735,0.03920241,0.03571111,2.415311,-2.562881,-1.075852,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0360002,0.3270792,-0.09326939,0.0495146,0.08461888,0.04074461,0.0344587,0.03471936,0.05190358,0.003923922,2.441912,-2.590538,-1.103582,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03562333,0.3239425,-0.09174764,0.04948492,0.08577801,0.03756396,0.03450244,0.03534778,0.0795798,0.01144984,2.497517,-2.607672,-1.117497,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03498119,0.3214504,-0.09119031,0.04947967,0.08704612,0.03912034,0.03436006,0.03498694,0.03309119,0.03022901,2.518703,-2.591221,-1.109043,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03405379,0.3210951,-0.09192141,0.05077823,0.07935006,0.03790787,0.0348398,0.03476916,0.0270351,0.0456457,2.485099,-2.550172,-1.087565,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03498396,0.3226353,-0.09349667,0.05233917,0.04962257,0.03354181,0.0335666,0.03483494,0.04897902,0.06024586,2.443785,-2.526345,-1.07827,False,False,False,False,False,0
