Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.003549467,0.1524613,0.04425689,0.06694683,0.09103559,0.09450883,0.08639446,0.07594934,0.05541028,0.1832505,3.033463,2.398543,-0.07932152,True,True,True,True,True,0.01998451,0.2828634,-0.1010954,0.2169647,0.2577505,0.2717049,0.2727699,0.2662428,0.05541028,0,2.215649,-2.482568,-0.4508429,False,False,False,False,False,0.1959646
,0.005037198,0.1503432,0.04238652,0.06662738,0.09141392,0.09488656,0.0865905,0.07621335,0.06551551,0.1698743,3.065525,2.393461,-0.09082982,True,True,True,True,False,0.005314997,0.2503458,-0.09934201,0.1965652,0.2421508,0.2550239,0.2549573,0.247376,0.06551551,0,2.563522,-2.438359,-0.252665,False,False,False,False,False,0.1734577
,0.005770741,0.1487661,0.0416119,0.06607744,0.09142639,0.09440038,0.08593753,0.0755948,0.05067816,0.1684808,3.068685,2.383418,-0.09587741,True,True,True,True,False,0.0008429989,0.2378669,-0.09496747,0.1871348,0.2341247,0.2460756,0.24545,0.2374456,0.05067816,0,2.787829,-2.358063,-0.04080926,False,False,False,False,False,0.1631476
,0.005304225,0.1463258,0.04196247,0.06619043,0.09136622,0.09458546,0.0861139,0.07568672,0.05248642,0.1712607,3.084938,2.381067,-0.09088665,True,True,True,True,False,0.007806339,0.2666546,-0.09468121,0.2070067,0.2492526,0.2621449,0.2622166,0.2545886,0.05248642,0,2.528707,-2.426447,-0.1812031,False,False,False,False,False,0.1820901
,0.003775022,0.1448677,0.04184569,0.06654986,0.09140493,0.09455324,0.08605978,0.07563129,0.03853653,0.1807303,3.097321,2.382482,-0.0886253,True,True,True,True,False,0.02486914,0.3000491,-0.1078166,0.2381272,0.277096,0.2912368,0.2932823,0.2873613,0.03853653,0,2.22488,-2.546805,-0.4547406,False,False,False,False,False,0.2166218
,0.002992032,0.1431139,0.04171199,0.06697104,0.09156908,0.09468339,0.08617949,0.07570256,0.04848861,0.1782663,3.112822,2.381538,-0.08940422,True,True,True,True,False,0.02270861,0.3030531,-0.1154339,0.2464178,0.2860543,0.3003386,0.3024749,0.296407,0.04848861,0,2.168225,-2.469509,-0.4774876,False,False,False,False,False,0.2250869
,0.003146903,0.1414091,0.04128417,0.06721978,0.09184241,0.0948168,0.08635616,0.07596522,0.0321665,0.1678053,3.138951,2.374812,-0.105143,True,True,True,True,False,0.006514542,0.2685913,-0.1081408,0.2194314,0.2631602,0.2763912,0.2772128,0.2699117,0.0321665,0,2.414673,-2.454543,-0.2836412,False,False,False,False,False,0.196251
,0.003531931,0.1410741,0.04078886,0.0663092,0.09186321,0.09468561,0.08613209,0.07578766,0.02753607,0.1727647,3.136022,2.368989,-0.1033105,True,True,True,True,False,0.002413003,0.2270387,-0.09777073,0.1835796,0.2328373,0.2448108,0.2453356,0.238406,0.02753607,0,2.94837,-2.379166,0.05057702,False,False,False,False,False,0.1630642
,0.003631921,0.1399545,0.041508,0.06644861,0.09195589,0.09479986,0.08623531,0.07568439,0.03440756,0.1840284,3.139353,2.36067,-0.0967747,True,True,True,True,False,0.006890956,0.2519926,-0.08806667,0.1951167,0.2386339,0.2515303,0.2521116,0.2448646,0.03440756,0,2.630304,-2.455998,-0.07888136,False,False,False,False,False,0.1713264
,0.002761614,0.1398166,0.0424451,0.06603745,0.09188867,0.09479278,0.08626941,0.0758338,0.03621825,0.1838984,3.135933,2.362852,-0.08987977,True,True,True,True,False,0.02170341,0.282937,-0.09459686,0.2201764,0.2601194,0.2742504,0.2764148,0.270624,0.03621825,0,2.346044,-2.566466,-0.2940687,False,False,False,False,False,0.1990546
