Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
Who,,,,,,,,,,,,,,,,,,,0.04628439,0.2654556,-0.05873917,0.0501795,0.07969004,0.03694827,0.03451425,0.03525301,0.09594576,0.03286116,2.528917,-2.956021,-1.391907,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04755647,0.2676761,-0.05966439,0.05240985,0.0445835,0.03299853,0.03322826,0.03488431,0.0253486,0.02205252,2.465571,-2.993264,-1.440081,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04876703,0.2689751,-0.05879498,0.05057321,0.04372617,0.03224166,0.03284401,0.0349723,0.0519508,0.02667022,2.428673,-3.044644,-1.447361,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04752803,0.2677383,-0.05768903,0.04919369,0.08211146,0.03544043,0.03408448,0.03593236,0.07838347,0.03149746,2.487533,-2.99765,-1.390181,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04696273,0.2654352,-0.05614007,0.05107777,0.08657425,0.03622209,0.03466835,0.03637601,0.04069084,0.05190869,2.541645,-2.989471,-1.407807,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04614228,0.2647877,-0.05640373,0.05059979,0.0864047,0.03617347,0.03477014,0.03625189,0.03174871,0.05823371,2.547333,-2.983744,-1.404152,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04602135,0.2680771,-0.06058925,0.05294238,0.06116546,0.03602709,0.03429785,0.03520846,0.1250412,0.02158151,2.487889,-2.972651,-1.400022,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04612016,0.2696177,-0.06248075,0.05230388,0.04501371,0.03302075,0.03327773,0.03512254,0.03271472,0.02618676,2.432595,-3.013559,-1.43818,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.0442575,0.2710955,-0.06289478,0.04686265,0.07449691,0.03489611,0.03380971,0.03557594,0.08529943,0.008131577,2.41996,-3.005166,-1.395715,False,False,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.04361143,0.2694787,-0.0631341,0.0483569,0.08677255,0.03611007,0.03471617,0.03635229,0.04425188,0.049524,2.510453,-2.986091,-1.420994,False,True,False,False,False,0
